sex,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,0,TRUE,0,NA,NA,4338203,0,0,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,0,TRUE,0,NA,NA,4400588,0,0,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,0,NA,NA,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,2,TRUE,2,0.667,66.7,4338203,0.05,0.05,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-10,2,0.05,NA,NA
female,CH,202010,1,TRUE,1,0.333,33.300000000000004,4400588,0.02,0.02,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-10,1,0.02,NA,NA
unknown,CH,202010,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-10,0,NA,NA,NA
male,CH,202011,15,TRUE,17,0.6,60,4338203,0.35,0.39,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-11,13,0.3,650,-6.700000000000003
female,CH,202011,10,TRUE,11,0.4,40,4400588,0.23,0.25,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-11,9,0.21,900,6.699999999999996
unknown,CH,202011,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-11,0,NA,NA,0
male,CH,202012,59,TRUE,76,0.596,59.599999999999994,4338203,1.36,1.75,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-12,44,1.01,293.3,-0.4000000000000057
female,CH,202012,40,TRUE,51,0.404,40.400000000000006,4400588,0.91,1.16,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-12,30,0.68,300,0.4000000000000057
unknown,CH,202012,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-12,0,NA,NA,0
male,CH,202013,168,TRUE,244,0.664,66.4,4338203,3.87,5.62,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-13,109,2.51,184.7,6.800000000000011
female,CH,202013,85,TRUE,136,0.336,33.6,4400588,1.93,3.09,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-13,45,1.02,112.5,-6.800000000000004
unknown,CH,202013,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-13,0,NA,NA,0
male,CH,202014,235,TRUE,479,0.61,61,4338203,5.42,11.04,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-14,67,1.55,39.9,-5.400000000000006
female,CH,202014,150,TRUE,286,0.39,39,4400588,3.41,6.5,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-14,65,1.48,76.5,5.399999999999999
unknown,CH,202014,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-14,0,NA,NA,0
male,CH,202015,183,TRUE,662,0.534,53.400000000000006,4338203,4.22,15.26,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-15,-52,-1.2,-22.1,-7.599999999999994
female,CH,202015,160,TRUE,446,0.466,46.6,4400588,3.64,10.14,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-15,10,0.23,6.7,7.600000000000001
unknown,CH,202015,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-15,0,NA,NA,0
male,CH,202016,124,TRUE,786,0.512,51.2,4338203,2.86,18.12,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-16,-59,-1.36,-32.2,-2.200000000000003
female,CH,202016,118,TRUE,564,0.488,48.8,4400588,2.68,12.82,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-16,-42,-0.96,-26.2,2.1999999999999957
unknown,CH,202016,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-16,0,NA,NA,0
male,CH,202017,97,TRUE,883,0.5,50,4338203,2.24,20.35,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-17,-27,-0.62,-21.8,-1.2000000000000028
female,CH,202017,97,TRUE,661,0.5,50,4400588,2.2,15.02,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-17,-21,-0.48,-17.8,1.2000000000000028
unknown,CH,202017,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-17,0,NA,NA,0
male,CH,202018,51,TRUE,934,0.567,56.699999999999996,4338203,1.18,21.53,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-18,-46,-1.06,-47.4,6.699999999999996
female,CH,202018,39,TRUE,700,0.433,43.3,4400588,0.89,15.91,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-18,-58,-1.31,-59.8,-6.700000000000003
unknown,CH,202018,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-18,0,NA,NA,0
male,CH,202019,32,TRUE,966,0.593,59.3,4338203,0.74,22.27,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-19,-19,-0.44,-37.3,2.6000000000000014
female,CH,202019,22,TRUE,722,0.407,40.699999999999996,4400588,0.5,16.41,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-19,-17,-0.39,-43.6,-2.6000000000000014
unknown,CH,202019,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-19,0,NA,NA,0
male,CH,202020,11,TRUE,977,0.611,61.1,4338203,0.25,22.52,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-20,-21,-0.49,-65.6,1.8000000000000043
female,CH,202020,7,TRUE,729,0.389,38.9,4400588,0.16,16.57,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-20,-15,-0.34,-68.2,-1.7999999999999972
unknown,CH,202020,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-20,0,NA,NA,0
male,CH,202021,8,TRUE,985,0.571,57.099999999999994,4338203,0.18,22.71,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-21,-3,-0.07,-27.3,-4.000000000000007
female,CH,202021,6,TRUE,735,0.429,42.9,4400588,0.14,16.7,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-21,-1,-0.02,-14.3,4
unknown,CH,202021,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-21,0,NA,NA,0
male,CH,202022,2,TRUE,987,0.5,50,4338203,0.05,22.75,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-22,-6,-0.13,-75,-7.099999999999994
female,CH,202022,2,TRUE,737,0.5,50,4400588,0.05,16.75,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-22,-4,-0.09,-66.7,7.100000000000001
unknown,CH,202022,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-22,0,NA,NA,0
male,CH,202023,1,TRUE,988,1,100,4338203,0.02,22.77,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-23,-1,-0.03,-50,50
female,CH,202023,0,TRUE,737,0,0,4400588,0,16.75,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-23,-2,-0.05,-100,-50
unknown,CH,202023,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-23,0,NA,NA,0
male,CH,202024,3,TRUE,991,0.75,75,4338203,0.07,22.84,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-24,2,0.05,200,-25
female,CH,202024,1,TRUE,738,0.25,25,4400588,0.02,16.77,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-24,1,0.02,NA,25
unknown,CH,202024,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-24,0,NA,NA,0
male,CH,202025,0,TRUE,991,0,0,4338203,0,22.84,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-25,-3,-0.07,-100,-75
female,CH,202025,2,TRUE,740,1,100,4400588,0.05,16.82,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-25,1,0.03,100,75
unknown,CH,202025,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-25,0,NA,NA,0
male,CH,202026,1,TRUE,992,1,100,4338203,0.02,22.87,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-26,1,0.02,NA,100
female,CH,202026,0,TRUE,740,0,0,4400588,0,16.82,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-26,-2,-0.05,-100,-100
unknown,CH,202026,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-26,0,NA,NA,0
male,CH,202027,1,TRUE,993,0.5,50,4338203,0.02,22.89,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-27,0,0,0,-50
female,CH,202027,1,TRUE,741,0.5,50,4400588,0.02,16.84,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-27,1,0.02,NA,50
unknown,CH,202027,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-27,0,NA,NA,0
male,CH,202028,2,TRUE,995,0.667,66.7,4338203,0.05,22.94,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-28,1,0.03,100,16.700000000000003
female,CH,202028,1,TRUE,742,0.333,33.300000000000004,4400588,0.02,16.86,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-28,0,0,0,-16.699999999999996
unknown,CH,202028,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-28,0,NA,NA,0
male,CH,202029,4,TRUE,999,1,100,4338203,0.09,23.03,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-29,2,0.04,100,33.3
female,CH,202029,0,TRUE,742,0,0,4400588,0,16.86,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-29,-1,-0.02,-100,-33.300000000000004
unknown,CH,202029,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-29,0,NA,NA,0
male,CH,202030,4,TRUE,1003,0.8,80,4338203,0.09,23.12,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-30,0,0,0,-20
female,CH,202030,1,TRUE,743,0.2,20,4400588,0.02,16.88,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-30,1,0.02,NA,20
unknown,CH,202030,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-30,0,NA,NA,0
male,CH,202031,4,TRUE,1007,0.8,80,4338203,0.09,23.21,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-31,0,0,0,0
female,CH,202031,1,TRUE,744,0.2,20,4400588,0.02,16.91,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2020-31,0,0,0,0
