date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202101,AG,age,4,indication,694072,4,0,0.8,80,50,0,0,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202102,AG,age,2,indication,694072,6,0,0.143,14.299999999999999,27.3,0,0,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202103,AG,age,4,indication,694072,10,0,0.024,2.4,5.3,0,0,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202104,AG,age,642,indication,694072,652,0.1,0.667,66.7,56.699999999999996,0.09,0.09,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202105,AG,age,1612,indication,694072,2264,0.3,0.623,62.3,60.6,0.23,0.33,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202106,AG,age,1491,indication,694072,3755,0.5,0.585,58.5,59.699999999999996,0.21,0.54,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202107,AG,age,3629,indication,694072,7384,1.1,0.687,68.7,63.800000000000004,0.52,1.06,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202108,AG,age,3645,indication,694072,11029,1.6,0.559,55.900000000000006,61,0.53,1.59,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202109,AG,age,2915,indication,694072,13944,2,0.489,48.9,57.99999999999999,0.42,2.01,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202110,AG,age,1934,indication,694072,15878,2.3,0.412,41.199999999999996,55.2,0.28,2.29,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202111,AG,age,2171,indication,694072,18049,2.6,0.42,42,53.2,0.31,2.6,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202112,AG,age,4528,indication,694072,22577,3.3,0.535,53.5,53.300000000000004,0.65,3.25,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202113,AG,age,3588,indication,694072,26165,3.8,0.563,56.3,53.7,0.52,3.77,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
202114,AG,age,4138,indication,694072,30303,4.4,0.464,46.400000000000006,52.6,0.6,4.37,COVID19FullyVaccPersons,2022-09-27_07-00-25,detailed
