date,geoRegion,entries,pop,inz_entries,consultations,per100Consultations,trend_indicator,timeframe_all,version
202013,CH,376,128647.34095033044,292.3,8313,4.5,NA,TRUE,2023-11-28_06-00-38
202014,CH,326,123563.06328129728,263.8,7717,4.2,NA,TRUE,2023-11-28_06-00-38
202015,CH,154,110620.92381661684,139.2,6823,2.3,falling,TRUE,2023-11-28_06-00-38
202016,CH,91,109467.73541229364,83.1,6302,1.4,falling,TRUE,2023-11-28_06-00-38
202017,CH,132,143906.81552251222,91.7,8666,1.5,stagnant,TRUE,2023-11-28_06-00-38
202018,CH,92,144647.07053604873,63.6,8736,1.1,falling,TRUE,2023-11-28_06-00-38
202019,CH,94,161045.96064146058,58.4,10429,0.9,stagnant,TRUE,2023-11-28_06-00-38
202020,CH,123,166355.58460804453,73.9,10837,1.1,rising,TRUE,2023-11-28_06-00-38
202021,CH,96,134719.0592609033,71.3,8288,1.2,stagnant,TRUE,2023-11-28_06-00-38
202022,CH,137,188022.0826172967,72.9,11871,1.2,stagnant,TRUE,2023-11-28_06-00-38
202023,CH,145,154246.77173801715,94,10050,1.4,rising,TRUE,2023-11-28_06-00-38
202024,CH,241,188933.08292029216,127.6,12125,2,rising,TRUE,2023-11-28_06-00-38
202025,CH,323,194171.89583649175,166.3,12576,2.6,rising,TRUE,2023-11-28_06-00-38
202026,CH,313,192152.0950386833,162.9,12568,2.5,stagnant,TRUE,2023-11-28_06-00-38
202027,CH,370,188267.1520095911,196.5,11826,3.1,rising,TRUE,2023-11-28_06-00-38
202028,CH,263,186711.234876527,140.9,10582,2.5,falling,TRUE,2023-11-28_06-00-38
202029,CH,174,182116.5587457713,95.5,9178,1.9,falling,TRUE,2023-11-28_06-00-38
202030,CH,109,184070.42174915865,59.2,8019,1.4,falling,TRUE,2023-11-28_06-00-38
202031,CH,113,234452.38204787247,48.2,8555,1.3,falling,TRUE,2023-11-28_06-00-38
202032,CH,93,173207.56019365462,53.7,8255,1.1,stagnant,TRUE,2023-11-28_06-00-38
202033,CH,131,169827.1780477628,77.1,9265,1.4,rising,TRUE,2023-11-28_06-00-38
202034,CH,259,179476.23596992544,144.3,11206,2.3,rising,TRUE,2023-11-28_06-00-38
202035,CH,325,180781.30591575068,179.8,11507,2.8,rising,TRUE,2023-11-28_06-00-38
202036,CH,374,184989.9671231304,202.2,11443,3.3,rising,TRUE,2023-11-28_06-00-38
202037,CH,443,180889.10342664755,244.9,11687,3.8,rising,TRUE,2023-11-28_06-00-38
202038,CH,378,189315.91865848284,199.7,12137,3.1,stagnant,TRUE,2023-11-28_06-00-38
202039,CH,293,176899.658222103,165.6,11311,2.6,falling,TRUE,2023-11-28_06-00-38
202040,CH,269,175537.64081184394,153.2,10128,2.7,stagnant,TRUE,2023-11-28_06-00-38
202041,CH,218,163044.7543447573,133.7,8236,2.6,falling,TRUE,2023-11-28_06-00-38
202042,CH,413,177319.37521150665,232.9,10321,4,rising,TRUE,2023-11-28_06-00-38
202043,CH,638,180260.27931021104,353.9,12248,5.2,rising,TRUE,2023-11-28_06-00-38
202044,CH,755,181463.07954105118,416.1,12111,6.2,rising,TRUE,2023-11-28_06-00-38
