date,type,virus_type,entries,tested_samples,geoRegion,prct,prct_lower_ci,prct_upper_ci,prct_mean3w,timeframe_all,default_view,version
202040,COVID19Detections,covid19,2,23,CH,8.7,2.4,26.8,NA,TRUE,TRUE,2023-11-28_06-00-38
202040,COVID19Detections,influenza,0,23,CH,0,0,14.3,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Detections,adeno,2,23,CH,8.7,2.4,26.8,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Detections,rhino,15,23,CH,65.2,44.9,81.2,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Detections,rsv,0,23,CH,0,0,14.3,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Detections,other,0,23,CH,0,0,14.3,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Detections,all,19,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Samples,all,23,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Samples,none,6,23,CH,26.1,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Samples,any,17,23,CH,73.9,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202040,COVID19Samples,unknown,0,23,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Detections,covid19,0,16,CH,0,0,19.4,12.9,TRUE,TRUE,2023-11-28_06-00-38
202041,COVID19Detections,influenza,0,16,CH,0,0,19.4,0,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Detections,adeno,1,16,CH,6.2,0.3,28.3,5,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Detections,rhino,9,16,CH,56.2,33.2,76.9,53.8,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Detections,rsv,0,16,CH,0,0,19.4,0,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Detections,other,1,16,CH,6.2,0.3,28.3,2.1,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Detections,all,11,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Samples,all,16,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Samples,none,7,16,CH,43.8,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Samples,any,9,16,CH,56.2,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202041,COVID19Samples,unknown,0,16,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Detections,covid19,6,20,CH,30,14.5,51.9,19.7,TRUE,TRUE,2023-11-28_06-00-38
202042,COVID19Detections,influenza,0,20,CH,0,0,16.1,0,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Detections,adeno,0,20,CH,0,0,16.1,2.1,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Detections,rhino,8,20,CH,40,21.9,61.3,36.9,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Detections,rsv,0,20,CH,0,0,16.1,0,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Detections,other,0,20,CH,0,0,16.1,2.1,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Detections,all,14,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Samples,all,20,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Samples,none,7,20,CH,35,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Samples,any,13,20,CH,65,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202042,COVID19Samples,unknown,0,20,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Detections,covid19,14,48,CH,29.2,18.2,43.2,33.2,TRUE,TRUE,2023-11-28_06-00-38
202043,COVID19Detections,influenza,0,48,CH,0,0,7.4,0,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Detections,adeno,0,48,CH,0,0,7.4,0,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Detections,rhino,7,48,CH,14.6,7.2,27.2,24,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Detections,rsv,0,48,CH,0,0,7.4,0,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Detections,other,0,48,CH,0,0,7.4,0,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Detections,all,21,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Samples,all,48,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Samples,none,27,48,CH,56.2,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Samples,any,21,48,CH,43.8,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202043,COVID19Samples,unknown,0,48,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Detections,covid19,23,57,CH,40.4,28.6,53.3,33.5,TRUE,TRUE,2023-11-28_06-00-38
202044,COVID19Detections,influenza,0,57,CH,0,0,6.3,0,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Detections,adeno,0,57,CH,0,0,6.3,0,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Detections,rhino,10,57,CH,17.5,9.8,29.4,19.5,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Detections,rsv,0,57,CH,0,0,6.3,0,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Detections,other,0,57,CH,0,0,6.3,0,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Detections,all,33,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Samples,all,57,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Samples,none,24,57,CH,42.1,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Samples,any,33,57,CH,57.9,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202044,COVID19Samples,unknown,0,57,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Detections,covid19,21,68,CH,30.9,21.2,42.6,35.1,TRUE,TRUE,2023-11-28_06-00-38
202045,COVID19Detections,influenza,0,68,CH,0,0,5.3,0,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Detections,adeno,0,68,CH,0,0,5.3,0,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Detections,rhino,18,68,CH,26.5,17.4,38,22,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Detections,rsv,0,68,CH,0,0,5.3,0,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Detections,other,0,68,CH,0,0,5.3,0,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Detections,all,39,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Samples,all,68,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Samples,none,29,68,CH,42.6,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Samples,any,39,68,CH,57.4,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202045,COVID19Samples,unknown,0,68,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Detections,covid19,14,41,CH,34.1,21.6,49.5,24.2,TRUE,TRUE,2023-11-28_06-00-38
202046,COVID19Detections,influenza,0,41,CH,0,0,8.6,0,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Detections,adeno,0,41,CH,0,0,8.6,0,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Detections,rhino,9,41,CH,22,12,36.7,24.7,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Detections,rsv,0,41,CH,0,0,8.6,0,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Detections,other,0,41,CH,0,0,8.6,0,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Detections,all,23,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Samples,all,41,NA,CH,NA,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Samples,none,20,41,CH,48.8,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Samples,any,21,41,CH,51.2,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202046,COVID19Samples,unknown,0,41,CH,0,NA,NA,NA,TRUE,FALSE,2023-11-28_06-00-38
202047,COVID19Detections,covid19,3,39,CH,7.7,2.7,20.3,19.2,TRUE,TRUE,2023-11-28_06-00-38
202047,COVID19Detections,influenza,0,39,CH,0,0,9,0,TRUE,FALSE,2023-11-28_06-00-38
202047,COVID19Detections,adeno,0,39,CH,0,0,9,4.4,TRUE,FALSE,2023-11-28_06-00-38
202047,COVID19Detections,rhino,10,39,CH,25.6,14.6,41.1,22,TRUE,FALSE,2023-11-28_06-00-38
