geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,anteil_pos_mean2w,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,nachweismethode,timeframe_2w,timeframe_4w,sum2w,sum4w,sumTotal_last2w,sumTotal_last4w,mean2w,mean4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,anteil_pos_2w,anteil_pos_4w,entries_diff_last_age,entries_diff_last,type_variant,entries_diff_week
CHFL,202006,NA,NA,NA,NA,1,100,NA,NA,NA,NA,8777846,NA,NA,NA,NA,NA,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-06,TRUE,Antigen_Schnelltest,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,872,NA,NA
CHFL,202006,1,0,1,1,1,100,0,NA,0,NA,8777846,0.01,0.01,NA,NA,NA,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-06,TRUE,PCR,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9123,NA,NA
CHFL,202007,NA,NA,NA,NA,1,100,NA,NA,NA,NA,8777846,NA,NA,NA,NA,0,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-07,TRUE,Antigen_Schnelltest,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,872,NA,NA
CHFL,202007,1,0,1,2,1,100,0,0,0,0,8777846,0.01,0.02,0,0,0,0,COVID19Test,2023-11-28_06-00-38,isoweek,2020-07,TRUE,PCR,FALSE,FALSE,2,NA,NA,NA,1,NA,0.01,NA,NA,NA,0.02,NA,0,NA,7,9123,NA,NA
CHFL,202008,NA,NA,NA,NA,1,100,NA,NA,NA,NA,8777846,NA,NA,NA,NA,0,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-08,TRUE,Antigen_Schnelltest,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,872,NA,NA
CHFL,202008,0,0,0,2,1,100,NA,NA,0,0,8777846,0,0.02,-1,-0.01,0,-100,COVID19Test,2023-11-28_06-00-38,isoweek,2020-08,TRUE,PCR,FALSE,FALSE,1,NA,NA,NA,0.5,NA,0.01,NA,NA,NA,0.01,NA,0,NA,7,9123,NA,NA
CHFL,202009,NA,NA,NA,NA,1,100,NA,NA,NA,NA,8777846,NA,NA,NA,NA,0,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-09,TRUE,Antigen_Schnelltest,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,872,NA,NA
CHFL,202009,1853,62,1791,1855,1,100,3.3,NA,3.3,1.7,8777846,21.11,21.13,1853,21.11,0,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-09,TRUE,PCR,FALSE,FALSE,1853,1855,NA,NA,926.5,463.75,10.55,5.28,NA,NA,21.11,21.13,3.35,3.34,7,9123,NA,NA
CHFL,202010,NA,NA,NA,NA,1,100,NA,NA,NA,NA,8777846,NA,NA,NA,NA,0,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-10,TRUE,Antigen_Schnelltest,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,872,NA,NA
CHFL,202010,4796,555,4241,6651,1,100,11.6,8.3,9.3,4.6,8777846,54.64,75.77,2943,33.53,0,158.8,COVID19Test,2023-11-28_06-00-38,isoweek,2020-10,TRUE,PCR,FALSE,FALSE,6649,6650,NA,NA,3324.5,1662.5,37.87,18.94,NA,NA,75.75,75.76,9.28,9.28,7,9123,NA,NA
CHFL,202011,NA,NA,NA,NA,1,100,NA,NA,NA,NA,8777846,NA,NA,NA,NA,0,NA,COVID19Test,2023-11-28_06-00-38,isoweek,2020-11,TRUE,Antigen_Schnelltest,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,872,NA,NA
