nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,sum2w,sum4w,anteil_pos_2w,anteil_pos_4w,anteil_pos_mean2w,timeframe_2w,timeframe_4w,sumTotal_last2w,sumTotal_last4w,mean2w,mean4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,entries_diff_last_age,entries_diff_week,entries_diff_last
all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-10,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-11,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-12,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-13,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-14,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-15,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-16,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-17,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738791,NA,NA,COVID19Test,,2023-11-28_06-00-38,isoweek,2020-18,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,9976
