geoRegion,period_start_date,period_end_date,pop,inzCategoryNormalized,type,geoRegion_type,version,geoVersion
BZRK0101,2020-02-24,2020-03-08,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-03-09,2020-03-22,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-03-23,2020-04-05,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-04-06,2020-04-19,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-04-20,2020-05-03,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-05-04,2020-05-17,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-05-18,2020-05-31,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-06-01,2020-06-14,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-06-15,2020-06-28,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-06-29,2020-07-12,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-07-13,2020-07-26,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-07-27,2020-08-09,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-08-10,2020-08-23,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-08-24,2020-09-06,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-09-07,2020-09-20,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-09-21,2020-10-04,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-10-05,2020-10-18,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-10-19,2020-11-01,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-11-02,2020-11-15,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-11-16,2020-11-29,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-11-30,2020-12-13,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2020-12-14,2020-12-27,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
