sex,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,39,TRUE,39,0.684,68.4,4338203,0.9,0.9,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,18,TRUE,18,0.316,31.6,4400588,0.41,0.41,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,0,0,0,NA,NA,NA,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,187,TRUE,226,0.496,49.6,4338203,4.31,5.21,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-10,148,3.41,379.5,-18.800000000000004
female,CH,202010,190,TRUE,208,0.504,50.4,4400588,4.32,4.73,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-10,172,3.91,955.6,18.799999999999997
unknown,CH,202010,0,TRUE,0,0,0,NA,NA,NA,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-10,0,NA,NA,0
male,CH,202011,1120,TRUE,1346,0.494,49.4,4338203,25.82,31.03,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-11,933,21.51,498.9,-0.20000000000000284
female,CH,202011,1144,TRUE,1352,0.505,50.5,4400588,26,30.72,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-11,954,21.68,502.1,0.10000000000000142
unknown,CH,202011,1,TRUE,1,0,0,NA,NA,NA,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-11,1,NA,NA,0
male,CH,202012,3179,TRUE,4525,0.485,48.5,4338203,73.28,104.31,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-12,2059,47.46,183.8,-0.8999999999999986
female,CH,202012,3376,TRUE,4728,0.515,51.5,4400588,76.72,107.44,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-12,2232,50.72,195.1,1
unknown,CH,202012,3,TRUE,4,0,0,NA,NA,NA,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-12,2,NA,200,0
male,CH,202013,3410,TRUE,7935,0.464,46.400000000000006,4338203,78.6,182.91,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-13,231,5.32,7.3,-2.0999999999999943
female,CH,202013,3927,TRUE,8655,0.535,53.5,4400588,89.24,196.68,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-13,551,12.52,16.3,2
unknown,CH,202013,8,TRUE,12,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-13,5,NA,166.7,0.1
male,CH,202014,2698,TRUE,10633,0.448,44.800000000000004,4338203,62.19,245.1,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-14,-712,-16.41,-20.9,-1.6000000000000014
female,CH,202014,3322,TRUE,11977,0.551,55.1,4400588,75.49,272.17,COVID19Cases,sex,2023-11-28_06-00-38,isoweek,2020-14,-605,-13.75,-15.4,1.6000000000000014
