date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,female,fully_vaccinated,0,0,9346,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,female,partially_vaccinated,4,4,162075,2.47,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,female,not_vaccinated,21,21,4215967,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,female,unknown,58,58,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,fully_vaccinated,0,0,7111,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,partially_vaccinated,4,4,123301,3.24,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,not_vaccinated,28,28,4191555,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,unknown,54,54,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,fully_vaccinated,0,0,28591,0,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,partially_vaccinated,7,11,180139,3.89,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,not_vaccinated,28,49,4178658,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2022-09-27_06-08-44,TRUE
