geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_2w,timeframe_4w,sum2w,sum4w,mean2w,mean4w,sumTotal_last2w,sumTotal_last4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last_age,entries_diff_last
CH,202009,52,TRUE,52,1,100,8738791,0.6,0.6,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0,7,125
CH,202010,111,TRUE,163,1,100,8738791,1.27,1.87,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-10,59,0.67,113.5,0,FALSE,FALSE,163,NA,81.5,NA,NA,NA,0.93,NA,NA,NA,1.87,NA,111,0,7,125
CH,202011,351,TRUE,514,1,100,8738791,4.02,5.88,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-11,240,2.75,216.2,0,FALSE,FALSE,462,NA,231,NA,NA,NA,2.64,NA,NA,NA,5.29,NA,351,0,7,125
CH,202012,840,TRUE,1354,1,100,8738791,9.61,15.49,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-12,489,5.59,139.3,0,FALSE,FALSE,1191,1354,595.5,338.5,NA,NA,6.81,3.87,NA,NA,13.63,15.49,840,0,7,125
CH,202013,1174,TRUE,2528,1,100,8738791,13.43,28.93,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-13,334,3.82,39.8,0,FALSE,FALSE,2014,2476,1007,619,NA,NA,11.52,7.08,NA,NA,23.05,28.33,1174,0,7,125
CH,202014,673,TRUE,3201,1,100,8738791,7.7,36.63,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-14,-501,-5.73,-42.7,0,FALSE,FALSE,1847,3038,923.5,759.5,NA,NA,10.57,8.69,NA,NA,21.14,34.76,673,0,7,125
CH,202015,380,TRUE,3581,1,100,8738791,4.35,40.98,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-15,-293,-3.35,-43.5,0,FALSE,FALSE,1053,3067,526.5,766.75,NA,NA,6.02,8.77,NA,NA,12.05,35.1,380,0,7,125
CH,202016,226,TRUE,3807,1,100,8738791,2.59,43.56,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-16,-154,-1.76,-40.5,0,FALSE,FALSE,606,2453,303,613.25,NA,NA,3.47,7.02,NA,NA,6.93,28.07,226,0,7,125
CH,202017,108,TRUE,3915,1,100,8738791,1.24,44.8,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-17,-118,-1.35,-52.2,0,FALSE,FALSE,334,1387,167,346.75,NA,NA,1.91,3.97,NA,NA,3.82,15.87,108,0,7,125
CH,202018,66,TRUE,3981,1,100,8738791,0.76,45.56,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-18,-42,-0.48,-38.9,0,FALSE,FALSE,174,780,87,195,NA,NA,1,2.23,NA,NA,1.99,8.93,66,0,7,125
CH,202019,31,TRUE,4012,1,100,8738791,0.35,45.91,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-19,-35,-0.41,-53,0,FALSE,FALSE,97,431,48.5,107.75,NA,NA,0.55,1.23,NA,NA,1.11,4.93,31,0,7,125
CH,202020,25,TRUE,4037,1,100,8738791,0.29,46.2,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-20,-6,-0.06,-19.4,0,FALSE,FALSE,56,230,28,57.5,NA,NA,0.32,0.66,NA,NA,0.64,2.63,25,0,7,125
CH,202021,17,TRUE,4054,1,100,8738791,0.19,46.39,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-21,-8,-0.1,-32,0,FALSE,FALSE,42,139,21,34.75,NA,NA,0.24,0.4,NA,NA,0.48,1.59,17,0,7,125
CH,202022,19,TRUE,4073,1,100,8738791,0.22,46.61,COVID19Hosp,,2023-11-28_06-00-38,isoweek,2020-22,2,0.03,11.8,0,FALSE,FALSE,36,92,18,23,NA,NA,0.21,0.26,NA,NA,0.41,1.05,19,0,7,125
