date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,version,timeframe_all,age_group_type,prct,prctSumTotal
202236,0 - 9,not_vaccinated,3,3,855064,0.35,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,60,60
202236,0 - 9,unknown,2,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,40,40
202236,0 - 9,vaccinated,0,0,32624,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,NA,NA
202236,0 - 9,vaccinated_last_6mo,0,0,3894,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,0,0
202236,0 - 9,vaccinated_older_6mo,0,0,28730,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,0,0
202237,0 - 9,not_vaccinated,1,4,855043,0.12,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,33.33,50
202237,0 - 9,unknown,2,4,NA,NA,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,66.67,50
202237,0 - 9,vaccinated,0,0,32645,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,NA,NA
202237,0 - 9,vaccinated_last_6mo,0,0,3266,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,0,0
202237,0 - 9,vaccinated_older_6mo,0,0,29379,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,0,0
202238,0 - 9,not_vaccinated,5,9,855029,0.58,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,71.43,60
202238,0 - 9,unknown,2,6,NA,NA,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,28.57,40
202238,0 - 9,vaccinated,0,0,32659,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,NA,NA
202238,0 - 9,vaccinated_last_6mo,0,0,2862,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,0,0
202238,0 - 9,vaccinated_older_6mo,0,0,29797,0,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,0,0
202239,0 - 9,not_vaccinated,6,15,855012,0.7,NA,CHFL,COVID19Hosp,vaccine,2023-07-04_06-03-02,TRUE,age_group_AKL10,100,71.43
