date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,female,fully_vaccinated,0,0,9346,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,female,partially_vaccinated,1,1,162075,0.62,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,female,not_vaccinated,27,27,4215967,0.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,female,unknown,107,107,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,fully_vaccinated,0,0,7111,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,partially_vaccinated,1,1,123301,0.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,not_vaccinated,30,30,4191555,0.72,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,male,unknown,136,136,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,fully_vaccinated,0,0,28591,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,partially_vaccinated,4,5,180139,2.22,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,not_vaccinated,54,81,4178658,1.29,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,female,unknown,144,251,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,male,fully_vaccinated,0,0,19080,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,male,partially_vaccinated,3,4,141675,2.12,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,male,not_vaccinated,64,94,4161212,1.54,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,male,unknown,157,293,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202105,unknown,unknown,1,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202106,female,fully_vaccinated,2,2,60719,3.29,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202106,female,partially_vaccinated,2,7,192658,1.04,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
202106,female,not_vaccinated,49,130,4134011,1.19,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-09-27_06-08-44,TRUE
