date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,348814,0,0,0,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202053,AG,male,79,sex,348814,79,0.02,0.02,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.32,32
202101,AG,male,1193,sex,348814,1272,0.34,0.36,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.472,47.199999999999996
202102,AG,male,1549,sex,348814,2821,0.44,0.81,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.442,44.2
202103,AG,male,2808,sex,348814,5629,0.81,1.61,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.455,45.5
202104,AG,male,2909,sex,348814,8538,0.83,2.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.404,40.400000000000006
202105,AG,male,3536,sex,348814,12074,1.01,3.46,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.408,40.8
202106,AG,male,3283,sex,348814,15357,0.94,4.4,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.425,42.5
202107,AG,male,5043,sex,348814,20400,1.45,5.85,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.453,45.300000000000004
202108,AG,male,6574,sex,348814,26974,1.88,7.73,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.441,44.1
202109,AG,male,5999,sex,348814,32973,1.72,9.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.436,43.6
202110,AG,male,6067,sex,348814,39040,1.74,11.19,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.446,44.6
202111,AG,male,4808,sex,348814,43848,1.38,12.57,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.455,45.5
202112,AG,male,7758,sex,348814,51606,2.22,14.79,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.472,47.199999999999996
202113,AG,male,7500,sex,348814,59106,2.15,16.94,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.477,47.699999999999996
202114,AG,male,9786,sex,348814,68892,2.81,19.75,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.468,46.800000000000004
202115,AG,male,10938,sex,348814,79830,3.14,22.89,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.434,43.4
202116,AG,male,14584,sex,348814,94414,4.18,27.07,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.487,48.699999999999996
202117,AG,male,11947,sex,348814,106361,3.43,30.49,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.478,47.8
202118,AG,male,17030,sex,348814,123391,4.88,35.37,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.49,49
