geoRegion,version,groupType,group,facilities,facilities_prct
BE,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
BE,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
BE,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
BE,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
BE,2023-11-28_08-00-00,percentile_7d,80-100%,2,100
BE,2023-11-28_08-00-00,percentile_7d,all,2,100
BE,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
BE,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
BE,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
BE,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
BE,2023-11-28_08-00-00,pp_7d,+10To+20pp,2,100
BE,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
BE,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
BE,2023-11-28_08-00-00,pp_7d,nca,0,0
BE,2023-11-28_08-00-00,pp_7d,all,2,100
BS,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
BS,2023-11-28_08-00-00,percentile_7d,20-40%,1,100
BS,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
BS,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
BS,2023-11-28_08-00-00,percentile_7d,80-100%,0,0
BS,2023-11-28_08-00-00,percentile_7d,all,1,100
BS,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
BS,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
BS,2023-11-28_08-00-00,pp_7d,-3To-10pp,1,100
BS,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
BS,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
BS,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
BS,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
BS,2023-11-28_08-00-00,pp_7d,nca,0,0
BS,2023-11-28_08-00-00,pp_7d,all,1,100
CH,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
CH,2023-11-28_08-00-00,percentile_7d,20-40%,2,14.285714285714285
CH,2023-11-28_08-00-00,percentile_7d,40-60%,2,14.285714285714285
CH,2023-11-28_08-00-00,percentile_7d,60-80%,3,21.428571428571427
CH,2023-11-28_08-00-00,percentile_7d,80-100%,7,50
CH,2023-11-28_08-00-00,percentile_7d,all,14,100
CH,2023-11-28_08-00-00,pp_7d,-10To-20pp,1,7.142857142857142
CH,2023-11-28_08-00-00,pp_7d,-20ppOrLess,2,14.285714285714285
CH,2023-11-28_08-00-00,pp_7d,-3To-10pp,2,14.285714285714285
CH,2023-11-28_08-00-00,pp_7d,-3To+3pp,1,7.142857142857142
CH,2023-11-28_08-00-00,pp_7d,+10To+20pp,3,21.428571428571427
CH,2023-11-28_08-00-00,pp_7d,+20ppOrMore,3,21.428571428571427
CH,2023-11-28_08-00-00,pp_7d,+3To+10pp,2,14.285714285714285
CH,2023-11-28_08-00-00,pp_7d,nca,0,0
CH,2023-11-28_08-00-00,pp_7d,all,14,100
CHFL,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
CHFL,2023-11-28_08-00-00,percentile_7d,20-40%,2,14.285714285714285
CHFL,2023-11-28_08-00-00,percentile_7d,40-60%,2,14.285714285714285
CHFL,2023-11-28_08-00-00,percentile_7d,60-80%,3,21.428571428571427
CHFL,2023-11-28_08-00-00,percentile_7d,80-100%,7,50
CHFL,2023-11-28_08-00-00,percentile_7d,all,14,100
CHFL,2023-11-28_08-00-00,pp_7d,-10To-20pp,1,7.142857142857142
CHFL,2023-11-28_08-00-00,pp_7d,-20ppOrLess,2,14.285714285714285
CHFL,2023-11-28_08-00-00,pp_7d,-3To-10pp,2,14.285714285714285
CHFL,2023-11-28_08-00-00,pp_7d,-3To+3pp,1,7.142857142857142
CHFL,2023-11-28_08-00-00,pp_7d,+10To+20pp,3,21.428571428571427
CHFL,2023-11-28_08-00-00,pp_7d,+20ppOrMore,3,21.428571428571427
CHFL,2023-11-28_08-00-00,pp_7d,+3To+10pp,2,14.285714285714285
CHFL,2023-11-28_08-00-00,pp_7d,nca,0,0
CHFL,2023-11-28_08-00-00,pp_7d,all,14,100
FL,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
FL,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
FL,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
FL,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
FL,2023-11-28_08-00-00,percentile_7d,80-100%,0,0
FL,2023-11-28_08-00-00,percentile_7d,all,0,0
FL,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
