geoRegion,ageRange,sex,pop
AG,0 - 9,male,37964
AG,0 - 9,female,35471
AG,10 - 19,male,35906
AG,10 - 19,female,33620
AG,20 - 29,male,41074
AG,20 - 29,female,38704
AG,30 - 39,male,51241
AG,30 - 39,female,49159
AG,40 - 49,male,49366
AG,40 - 49,female,47459
AG,50 - 59,male,54645
AG,50 - 59,female,52887
AG,60 - 69,male,41499
AG,60 - 69,female,42187
AG,70 - 79,male,28125
AG,70 - 79,female,30301
AG,80+,male,13613
AG,80+,female,19865
AI,0 - 9,male,882
AI,0 - 9,female,869
AI,10 - 19,male,864
AI,10 - 19,female,802
AI,20 - 29,male,1075
AI,20 - 29,female,935
AI,30 - 39,male,1101
AI,30 - 39,female,983
AI,40 - 49,male,997
AI,40 - 49,female,933
AI,50 - 59,male,1250
AI,50 - 59,female,1234
AI,60 - 69,male,1080
AI,60 - 69,female,945
AI,70 - 79,male,740
AI,70 - 79,female,693
AI,80+,male,400
AI,80+,female,577
AR,0 - 9,male,3073
AR,0 - 9,female,2929
AR,10 - 19,male,2745
AR,10 - 19,female,2566
AR,20 - 29,male,3192
AR,20 - 29,female,2687
AR,30 - 39,male,3651
AR,30 - 39,female,3530
AR,40 - 49,male,3609
AR,40 - 49,female,3483
AR,50 - 59,male,4310
AR,50 - 59,female,4306
AR,60 - 69,male,3715
AR,60 - 69,female,3657
AR,70 - 79,male,2504
AR,70 - 79,female,2546
AR,80+,male,1194
AR,80+,female,1888
BE,0 - 9,male,52391
BE,0 - 9,female,49515
BE,10 - 19,male,50088
BE,10 - 19,female,47750
BE,20 - 29,male,58500
BE,20 - 29,female,56907
BE,30 - 39,male,71616
BE,30 - 39,female,71749
BE,40 - 49,male,68711
BE,40 - 49,female,68687
BE,50 - 59,male,77590
BE,50 - 59,female,77875
BE,60 - 69,male,63213
BE,60 - 69,female,66347
BE,70 - 79,male,48175
BE,70 - 79,female,54709
BE,80+,male,24325
BE,80+,female,39325
BL,0 - 9,male,14379
BL,0 - 9,female,13504
BL,10 - 19,male,14606
BL,10 - 19,female,13778
BL,20 - 29,male,15403
BL,20 - 29,female,14602
BL,30 - 39,male,17810
BL,30 - 39,female,18099
BL,40 - 49,male,19151
BL,40 - 49,female,19635
BL,50 - 59,male,22574
BL,50 - 59,female,23127
BL,60 - 69,male,17893
BL,60 - 69,female,18543
BL,70 - 79,male,13652
BL,70 - 79,female,15886
BL,80+,male,8170
BL,80+,female,12005
BS,0 - 9,male,9527
BS,0 - 9,female,8983
BS,10 - 19,male,8123
BS,10 - 19,female,7704
BS,20 - 29,male,11448
BS,20 - 29,female,11676
BS,30 - 39,male,16647
BS,30 - 39,female,16808
BS,40 - 49,male,14052
BS,40 - 49,female,13575
BS,50 - 59,male,13464
BS,50 - 59,female,13383
BS,60 - 69,male,10387
BS,60 - 69,female,11029
BS,70 - 79,male,7192
BS,70 - 79,female,8909
BS,80+,male,4566
BS,80+,female,8563
FR,0 - 9,male,18711
FR,0 - 9,female,17421
FR,10 - 19,male,18446
FR,10 - 19,female,17714
FR,20 - 29,male,21962
FR,20 - 29,female,20945
FR,30 - 39,male,23578
FR,30 - 39,female,22969
FR,40 - 49,male,22789
FR,40 - 49,female,22620
FR,50 - 59,male,24579
FR,50 - 59,female,24246
FR,60 - 69,male,17611
FR,60 - 69,female,17618
FR,70 - 79,male,12013
FR,70 - 79,female,13056
FR,80+,male,5369
FR,80+,female,8162
GE,0 - 9,male,27443
GE,0 - 9,female,26031
GE,10 - 19,male,27492
GE,10 - 19,female,26412
GE,20 - 29,male,32072
GE,20 - 29,female,32067
GE,30 - 39,male,37538
GE,30 - 39,female,38745
GE,40 - 49,male,37654
GE,40 - 49,female,39380
GE,50 - 59,male,35394
GE,50 - 59,female,37084
GE,60 - 69,male,23564
GE,60 - 69,female,25358
GE,70 - 79,male,15856
GE,70 - 79,female,20849
GE,80+,male,9905
GE,80+,female,16604
GL,0 - 9,male,2043
GL,0 - 9,female,2019
GL,10 - 19,male,1967
GL,10 - 19,female,1860
GL,20 - 29,male,2488
GL,20 - 29,female,2210
GL,30 - 39,male,3031
GL,30 - 39,female,2662
GL,40 - 49,male,2751
GL,40 - 49,female,2577
GL,50 - 59,male,3132
GL,50 - 59,female,3031
GL,60 - 69,male,2687
GL,60 - 69,female,2615
GL,70 - 79,male,1823
GL,70 - 79,female,1972
GL,80+,male,890
GL,80+,female,1432
GR,0 - 9,male,9098
GR,0 - 9,female,8520
GR,10 - 19,male,9099
GR,10 - 19,female,8531
GR,20 - 29,male,11746
GR,20 - 29,female,10712
GR,30 - 39,male,13450
GR,30 - 39,female,12670
GR,40 - 49,male,13237
GR,40 - 49,female,12838
GR,50 - 59,male,16162
